query,intent
"is this video real?","analyze_video"
"check this clip for me","analyze_video"
"analyze this video","analyze_video"
"this video looks weird","analyze_video"
"can you verify this?","analyze_video"
"i have a link i want you to look at","analyze_video"
"is this real or fake","analyze_video"
"i'm uploading a video now","analyze_video"
"can you check this file","analyze_video"
"i have a video for you","analyze_video"
"check this link","analyze_video"
"can you analyze this youtube video","analyze_video"
"got a URL for you","analyze_video"
"this seems fishy","analyze_video"
"what do you think of this?","analyze_video"
"is this manipulated?","analyze_video"
"verify this clip","analyze_video"
"how about this one?","analyze_video"
"this clip seems fake","analyze_video"
"i have a video i need you to check","analyze_video"
"please analyze this","analyze_video"
"look at this video","analyze_video"
"tell me if this is fake","analyze_video"
"detect fake","analyze_video"
"is this video legitimate","analyze_video"
"is this clip authentic","analyze_video"
"check for deepfake","analyze_video"
"scan this video","analyze_video"
"run analysis on this","analyze_video"
"real or fake?","analyze_video"
"i need to know if this is real","analyze_video"
"tell me if this is real","analyze_video"
"is this a fake video?","analyze_video"
"can you detect deepfakes in this?","analyze_video"
"process this video","analyze_video"
"inspect this footage","analyze_video"
"investigate this clip","analyze_video"
"examine this file","analyze_video"
"what is a deepfake?","learn_deepfake"
"what are deepfakes?","learn_deepfake"
"tell me more about deepfakes","learn_deepfake"
"how are deepfakes made","learn_deepfake"
"how do deepfakes work","learn_deepfake"
"how can i spot a deepfake","learn_deepfake"
"what is the technology behind this","learn_deepfake"
"who makes deepfakes","learn_deepfake"
"why are deepfakes dangerous","learn_deepfake"
"explain deepfakes to me","learn_deepfake"
"definition of deepfake","learn_deepfake"
"tell me about image manipulation","learn_deepfake"
"how is this technology used?","learn_deepfake"
"are deepfakes a security risk?","learn_deepfake"
"history of deepfakes","learn_deepfake"
"give me a definition of deepfake","learn_deepfake"
"explain the tech","learn_deepfake"
"what is media manipulation","learn_deepfake"
"explain forgery tech","learn_deepfake"
"define deepfake technology","learn_deepfake"
"understand deepfakes","learn_deepfake"
"education on deepfakes","learn_deepfake"
"teach me about deepfakes","learn_deepfake"
"what does 'low credibility' mean?","ask_question"
"why did this get a low score?","ask_question"
"what does '80% real' mean?","ask_question"
"how do you know this is fake?","ask_question"
"what part of the video is fake?","ask_question"
"how long does this take?","ask_question"
"what model are you using?","ask_question"
"what is MesoNet?","ask_question"
"where does this analysis come from?","ask_question"
"how accurate is this?","ask_question"
"can you be wrong?","ask_question"
"what does 'inconclusive' mean?","ask_question"
"why was this result inconclusive?","ask_question"
"what does this report mean?","ask_question"
"can you explain the results?","ask_question"
"how does the analysis work?","ask_question"
"what are you checking for?","ask_question"
"what is your accuracy?","ask_question"
"how good is your detection?","ask_question"
"explain your scoring","ask_question"
"what does this score mean?","ask_question"
"can you explain the result?","ask_question"
"is the detection good?","ask_question"
"is the performance good?","ask_question"
"how reliable is this?","ask_question"
"how good are the results?","ask_question"
"why do you think that?","ask_question"
"hello","greeting"
"hi","greeting"
"hey","greeting"
"good morning","greeting"
"good afternoon","greeting"
"yo","greeting"
"what's up","greeting"
"hi again","greeting"
"hello there","greeting"
"are you ready?","greeting"
"greetings","greeting"
"hey there","greeting"
"start","greeting"
"hi bot","greeting"
"good evening","greeting"
"yo bot","greeting"
"hey there bot","greeting"
"sup","greeting"
"hiya","greeting"
"morning","greeting"
"ready to start","greeting"
"let's go","greeting"
"i am ready","greeting"
"hey hello","greeting"
"hello hello","greeting"
"hi hi","greeting"
"bye","goodbye"
"goodbye","goodbye"
"see you later","goodbye"
"thanks bye","goodbye"
"ok thanks","goodbye"
"that's all i needed","goodbye"
"done","goodbye"
"thank you","goodbye"
"perfect, thanks","goodbye"
"thanks for the assistance","goodbye"
"all done","goodbye"
"i'm finished","goodbye"
"exit","goodbye"
"quit","goodbye"
"thanks and goodbye","goodbye"
"i'm done now","goodbye"
"no more videos","goodbye"
"finished, thank you","goodbye"
"that's all","goodbye"
"i am finished","goodbye"
"i want to quit","goodbye"
"quit now","goodbye"
"end chat","goodbye"
"stop","goodbye"
"close","goodbye"
"shutdown","goodbye"
"see you","goodbye"
"catch you later","goodbye"
"later","goodbye"
"im done","goodbye"
"help","help"
"help me","help"
"i need help","help"
"what can you do?","help"
"what are your commands?","help"
"how do i use this?","help"
"i'm lost","help"
"show me the menu","help"
"can you help me?","help"
"i don't understand","help"
"what are my options?","help"
"how does this work?","help"
"info","help"
"instructions","help"
"menu","help"
"what are your features?","help"
"can you tell me what you do?","help"
"i am stuck","help"
"show instructions","help"
"i need a tutorial","help"
"i am totally stuck","help"
"i need some info","help"
"give me info","help"
"show me info","help"
"guide me","help"
"assist me","help"
"i don't know what to do","help"
"what do i do","help"
"how do i operate this","help"
"explain how to use","help"
"show options","help"
"where do i start","help"
"what accuracy do you have","ask_question"
"do you have good accuracy","ask_question"
"what kind of accuracy do you have","ask_question"
"what accuracy do you have","ask_question"
"do you have good accuracy","ask_question"
"what kind of accuracy do you have","ask_question"
